node_character,revenue_items,variable_cost_items,fixed_cost_items,inventory_value_items,tax_compare_items
DAD,internal_allocation_revenue,transport_cost|expedite_cost|allocation_adjust_cost,planning_operation_cost|hub_management_cost,buffer_inventory_value|inventory_holding_cost,profit_allocation|transfer_price|inventory_country
WS,logistics_service_revenue,handling_cost|transport_cost|storage_variable_cost,warehouse_fixed_cost|warehouse_operation_cost,warehouse_inventory_value|obsolete_inventory_value,warehouse_country_tax|inventory_tax|logistics_entity_profit
RT,external_sales,delivery_cost|sales_commission|promotion_variable_cost,sales_admin_cost|channel_fixed_cost,retail_inventory_value|channel_inventory_value,sales_entity_profit|sales_country_tax|gross_margin_allocation
CS,market_sales_reference,lost_sales_cost|discount_loss,,,
WEB_SALE,ecommerce_sales,payment_fee|parcel_delivery_cost|return_variable_cost,ec_operation_cost|system_operation_cost,ec_inventory_value,digital_sales_tax|direct_sales_profit_allocation
MOM,internal_transfer_revenue|shipment_value,direct_material_cost|direct_labor_cost|variable_mfg_overhead,depreciation_cost|factory_fixed_cost|plant_admin_cost,wip_value|fg_inventory_value,manufacturing_entity_profit|transfer_price|duty_origin_compare
TIER_1_ASSY,module_sales|internal_supply_value,assembly_cost|component_input_cost|quality_variable_cost,assembly_fixed_cost|equipment_cost|admin_cost,module_inventory_value|wip_value,supplier_entity_profit|internal_transfer_price|duty_compare
TIER_2_PARTS,parts_sales|internal_supply_value,parts_material_cost|processing_cost|yield_loss_cost,production_fixed_cost|equipment_cost|mfg_admin_cost,parts_inventory_value|wip_value,parts_entity_profit|parts_transfer_price|duty_compare
TIER_3_MATERIAL,material_sales|material_supply_value,raw_material_procurement_cost|material_processing_cost|inbound_transport_cost,material_site_fixed_cost|equipment_cost,raw_material_inventory_value|material_inventory_value,material_country_tax|duty|commodity_price_impact
SUPPLY_CHAIN_OFFICE,,replanning_execution_cost|exception_handling_cost,sc_office_operation_cost|planning_admin_cost,e2e_inventory_value|inventory_policy_delta,pretax_profit_compare|tax_burden_compare|tax_saver_option_compare
